GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
Snake River Wild Steelhead B-Run,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1722,,,,0.23,0.06,0.44
Snake River Wild Steelhead Aggregate,2015,ST,W,Sum,Lower Granite Dam to Bonneville Dam,8609,,,,0.2,0.12,0.28
Snake River Wild Steelhead Aggregate,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,8609,,,,0.1,0.05,0.16
Asotin River Wild Steelhead,2015,ST,W,Sum,Lower Granite Dam to Bonneville Dam,406,,,,0,0,0.73
Asotin River Wild Steelhead,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,406,,,,0,0,0.73
Clearwater River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2195,,,,0.32,0.12,0.52
Clearwater River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2195,,,,0.14,0,0.28
Clearwater River Wild Spring Chinook,2015,CH,W,Spr,Lower Granite Dam to Bonneville Dam,510,0.2,0,0.57,0.2,0,0.57
Clearwater River Wild Spring Chinook,2015,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,510,0.2,0,0.57,0.2,0,0.57
Grande Ronde River Wild Spring Chinook,2015,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1327,0.68,0.31,1.08,0.83,0.44,1.24
Grande Ronde River Wild Spring Chinook,2015,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1327,0.53,0.21,0.88,0.6,0.25,0.98
Grande Ronde River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1147,,,,0.44,0.16,0.81
Grande Ronde River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1147,,,,0.35,0.09,0.68
Imnaha River Wild Summer Chinook,2015,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,3156,0.41,0.24,0.62,0.48,0.29,0.69
Imnaha River Wild Summer Chinook,2015,CH,W,Sum,Lower Granite Dam to Bonneville Dam,3156,0.48,0.29,0.69,0.54,0.34,0.77
Imnaha River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2855,,,,0.18,0.07,0.31
Imnaha River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2855,,,,0.07,0,0.16
Middle Fork Salmon River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2432,0.08,0,0.18,0.21,0.08,0.36
Middle Fork Salmon River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2432,0.08,0,0.18,0.21,0.08,0.36
Salmon River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1122,,,,0,0,0.27
Salmon River Wild Steelhead A-Run,2015,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1122,,,,0,0,0.27
South Fork Salmon River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,422,0.24,0,0.71,0.24,0,0.71
South Fork Salmon River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,422,0.47,0,1.05,0.47,0,1.05
Tucannon River Wild Summer Steelhead,2015,ST,W,Sum,Lower Monumental Dam to Bonneville Dam,205,,,,0.49,0,1.64
Tucannon River Wild Summer Steelhead,2015,ST,W,Sum,Lower Monumental Dam to Lower Monumental Dam,205,,,,0.49,0,1.64
Tucannon River Wild Spring Chinook,2015,CH,W,Spr,Lower Monumental Dam to Lower Monumental Dam,116,0,0,2.56,0,0,2.56
Tucannon River Wild Spring Chinook,2015,CH,W,Spr,Lower Monumental Dam to Bonneville Dam,116,0,0,2.56,0,0,2.56
Upper Salmon River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2287,0.09,0,0.19,0.13,0,0.26
Upper Salmon River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2287,0.13,0,0.27,0.17,0.04,0.33
Snake River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,21434,0.52,0.44,0.6,0.57,0.48,0.66
Snake River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,21434,0.61,0.53,0.7,0.69,0.6,0.79
Snake River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,6605,,,,1.38,1.14,1.63
Snake River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,6605,,,,2.18,1.88,2.49
Snake River Wild Steelhead B-Run,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2177,,,,1.38,0.98,1.79
Snake River Wild Steelhead B-Run,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2177,,,,1.88,1.4,2.34
Snake River Wild Steelhead Aggregate,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,9662,,,,2.01,1.77,2.24
Snake River Wild Steelhead Aggregate,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,9662,,,,1.34,1.15,1.62
Asotin River Wild Steelhead,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1977,,,,1.26,0.86,1.68
Asotin River Wild Steelhead,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1977,,,,0.66,0.35,0.97
Clearwater River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1943,,,,1.85,1.36,2.37
Clearwater River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1943,,,,1.39,0.99,1.84
Clearwater River Wild Spring Chinook,2014,CH,W,Spr,Lower Granite Dam to Bonneville Dam,825,0.36,0,0.74,0.36,0,0.74
Clearwater River Wild Spring Chinook,2014,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,825,0.24,0,0.57,0.24,0,0.57
Grande Ronde River Wild Spring Chinook,2014,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3391,1.3,0.98,1.64,1.36,1.04,1.7
Grande Ronde River Wild Spring Chinook,2014,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3391,1.5,1.18,1.89,1.59,1.25,1.98
Grande Ronde River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,632,,,,1.42,0.74,2.22
Grande Ronde River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,632,,,,2.69,1.64,3.71
Imnaha River Wild Summer Chinook,2014,CH,W,Sum,Lower Granite Dam to Bonneville Dam,3401,0.5,0.31,0.69,0.62,0.41,0.85
Imnaha River Wild Summer Chinook,2014,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,3401,0.44,0.27,0.62,0.5,0.32,0.7
Imnaha River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3156,,,,1.87,1.49,2.27
Imnaha River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3156,,,,2.82,2.34,3.32
Middle Fork Salmon River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3044,0.56,0.34,0.79,0.66,0.4,0.92
Middle Fork Salmon River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3044,0.49,0.29,0.72,0.56,0.33,0.8
Salmon River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1100,,,,1.27,0.76,1.9
Salmon River Wild Steelhead A-Run,2014,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1100,,,,1.73,1.1,2.41
South Fork Salmon River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,517,0.77,0.19,1.45,0.77,0.19,1.45
South Fork Salmon River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,517,0.77,0.19,1.45,0.77,0.19,1.56
Upper Salmon River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3477,0.4,0.23,0.58,0.43,0.25,0.61
Upper Salmon River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3477,0.35,0.18,0.51,0.37,0.2,0.54
Snake River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,19033,1.2,1.07,1.34,1.36,1.22,1.51
Snake River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,19033,1.54,1.4,1.7,1.7,1.56,1.87
Snake River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,4643,,,,2.33,1.98,2.69
Snake River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,4643,,,,3.23,2.83,3.65
Snake River Wild Steelhead B-Run,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2555,,,,1.84,1.41,2.31
Snake River Wild Steelhead B-Run,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2555,,,,2.35,1.85,2.86
Snake River Wild Steelhead Aggregate,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,8424,,,,2.69,2.39,3.01
Snake River Wild Steelhead Aggregate,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,8424,,,,1.99,1.73,2.25
Clearwater River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3080,,,,2.66,2.19,3.14
Clearwater River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3080,,,,2.31,1.87,2.74
Clearwater River Wild Spring Chinook,2013,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1095,0.37,0.09,0.65,0.37,0.09,0.65
Clearwater River Wild Spring Chinook,2013,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1095,0.73,0.33,1.16,0.73,0.33,1.16
Grande Ronde River Wild Spring Chinook,2013,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3232,1.92,1.51,2.28,2.17,1.74,2.57
Grande Ronde River Wild Spring Chinook,2013,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3232,1.55,1.18,1.9,1.79,1.4,2.16
Grande Ronde River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,657,,,,3.8,2.57,5.05
Grande Ronde River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,657,,,,2.43,1.47,3.48
Imnaha River Wild Summer Chinook,2013,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,3012,1.2,0.88,1.54,1.43,1.08,1.79
Imnaha River Wild Summer Chinook,2013,CH,W,Sum,Lower Granite Dam to Bonneville Dam,3012,1.46,1.11,1.81,1.69,1.3,2.07
Imnaha River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2706,,,,3.03,2.49,3.57
Imnaha River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2706,,,,2,1.57,2.44
Middle Fork Salmon River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2333,1.46,1.04,1.88,1.54,1.11,1.98
Middle Fork Salmon River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2333,1.76,1.32,2.22,1.84,1.39,2.32
Salmon River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1280,,,,2.27,1.57,2.96
Salmon River Wild Steelhead A-Run,2013,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1280,,,,1.48,0.9,2.06
South Fork Salmon River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,608,0.99,0.33,1.69,0.99,0.33,1.69
South Fork Salmon River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,608,1.48,0.7,2.28,1.48,0.7,2.28
Upper Salmon River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3527,1.22,0.92,1.54,1.28,0.99,1.6
Upper Salmon River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3527,1.64,1.31,2.02,1.7,1.37,2.09
Snake River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,21559,1.1,0.99,1.22,1.43,1.31,1.57
Snake River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,21559,1.48,1.35,1.63,1.84,1.7,1.99
Snake River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3210,,,,2.74,2.26,3.23
Snake River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3210,,,,3.8,3.19,4.35
Snake River Wild Steelhead B-Run,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3323,,,,2.44,2.02,2.88
Snake River Wild Steelhead B-Run,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3323,,,,3.13,2.68,3.66
Snake River Wild Steelhead Aggregate,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,6902,,,,3.39,3.04,3.76
Snake River Wild Steelhead Aggregate,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,6902,,,,2.54,2.23,2.86
Clearwater River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2969,,,,2.73,2.23,3.26
Clearwater River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2969,,,,3.37,2.82,3.93
Clearwater River Wild Spring Chinook,2012,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1303,0.69,0.35,1.11,0.69,0.35,1.11
Clearwater River Wild Spring Chinook,2012,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1303,0.69,0.32,1.12,0.69,0.32,1.12
Grande Ronde River Wild Spring Chinook,2012,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3092,1.46,1.13,1.85,1.65,1.3,2.06
Grande Ronde River Wild Spring Chinook,2012,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3092,2,1.59,2.44,2.2,1.78,2.65
Grande Ronde River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,532,,,,3.57,2.25,4.95
Grande Ronde River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,532,,,,4.14,2.68,5.59
Imnaha River Wild Summer Chinook,2012,CH,W,Sum,Lower Granite Dam to Bonneville Dam,2384,1.13,0.77,1.49,1.51,1.09,1.93
Imnaha River Wild Summer Chinook,2012,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,2384,0.8,0.51,1.1,1.01,0.7,1.35
Imnaha River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1577,,,,2.35,1.73,2.96
Imnaha River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1577,,,,3.8,3.01,4.58
Middle Fork Salmon River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2518,1.35,0.98,1.73,2.03,1.56,2.49
Middle Fork Salmon River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2518,0.91,0.59,1.24,1.59,1.17,2.01
Salmon River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1366,,,,2.71,2,3.45
Salmon River Wild Steelhead A-Run,2012,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1366,,,,3.59,2.8,4.41
South Fork Salmon River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,888,1.24,0.67,1.86,1.24,0.67,1.86
South Fork Salmon River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,888,1.01,0.54,1.6,1.01,0.54,1.6
Upper Salmon River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3783,1.88,1.54,2.25,2.33,1.93,2.76
Upper Salmon River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3783,1.53,1.23,1.87,1.98,1.62,2.38
Snake River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,23327,0.33,0.27,0.4,0.36,0.3,0.43
Snake River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,23327,0.42,0.35,0.49,0.45,0.38,0.53
Snake River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3014,,,,1.39,1.07,1.75
Snake River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3014,,,,2.16,1.74,2.61
Snake River Wild Steelhead B-Run,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1899,,,,1.05,0.67,1.44
Snake River Wild Steelhead B-Run,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1899,,,,1.32,0.91,1.72
Snake River Wild Steelhead Aggregate,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,4943,,,,1.84,1.5,2.19
Snake River Wild Steelhead Aggregate,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,4943,,,,1.27,1.02,1.55
Clearwater River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1830,,,,1.15,0.75,1.54
Clearwater River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1830,,,,1.09,0.7,1.51
Clearwater River Wild Spring Chinook,2011,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1433,0.35,0.07,0.62,0.35,0.07,0.62
Clearwater River Wild Spring Chinook,2011,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1433,0.49,0.2,0.78,0.49,0.2,0.78
Grande Ronde River Wild Spring Chinook,2011,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3263,0.49,0.31,0.72,0.49,0.31,0.72
Grande Ronde River Wild Spring Chinook,2011,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3263,0.43,0.25,0.63,0.43,0.25,0.63
Grande Ronde River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,654,,,,3.21,2.09,4.42
Grande Ronde River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,654,,,,1.83,0.94,2.75
Imnaha River Wild Summer Chinook,2011,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,5411,0.33,0.16,0.53,0.37,0.17,0.59
Imnaha River Wild Summer Chinook,2011,CH,W,Sum,Lower Granite Dam to Bonneville Dam,2411,0.41,0.21,0.63,0.5,0.29,0.74
Imnaha River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,960,,,,1.67,1.02,2.37
Imnaha River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,960,,,,1.04,0.52,1.58
Middle Fork Salmon River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3186,0.35,0.19,0.52,0.44,0.25,0.63
Middle Fork Salmon River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3186,0.41,0.22,0.59,0.5,0.31,0.7
Salmon River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1474,,,,2.17,1.59,2.75
Salmon River Wild Steelhead A-Run,2011,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1474,,,,1.36,0.89,1.85
South Fork Salmon River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1103,0.27,0.09,0.57,0.27,0.09,0.57
South Fork Salmon River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1103,0.27,0.09,0.57,0.27,0.09,0.57
Snake River Wild Fall Chinook,2011,CH,W,Fall,Lower Granite Dam to Lower Granite Dam,1467,0.68,0.36,1.06,0.95,0.55,1.39
Snake River Wild Fall Chinook,2011,CH,W,Fall,Lower Granite Dam to Bonneville Dam,1467,0.89,0.52,1.33,1.16,0.74,1.66
Upper Salmon River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,4805,0.35,0.23,0.5,0.35,0.23,0.5
Upper Salmon River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,4805,0.46,0.31,0.62,0.46,0.31,0.62
Snake River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,26604,0.74,0.65,0.83,0.93,0.83,1.03
Snake River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,26604,0.92,0.83,1.02,1.16,1.05,1.26
Snake River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,4661,,,,2.06,1.71,2.43
Snake River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,4661,,,,2.92,2.49,3.36
Snake River Wild Steelhead B-Run,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2713,,,,1.29,0.94,1.64
Snake River Wild Steelhead B-Run,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2713,,,,1.73,1.29,2.13
Snake River Wild Steelhead Aggregate,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,8215,,,,2.4,2.12,2.69
Snake River Wild Steelhead Aggregate,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,8215,,,,1.73,1.48,1.98
Clearwater River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3608,,,,1.44,1.11,1.75
Clearwater River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3608,,,,1.88,1.52,2.24
Clearwater River Wild Spring Chinook,2010,CH,W,Spr,Lower Granite Dam to Bonneville Dam,5725,1.05,0.84,1.29,1.07,0.85,1.31
Clearwater River Wild Spring Chinook,2010,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,5725,0.75,0.57,0.95,0.75,0.57,0.95
Grande Ronde River Wild Spring Chinook,2010,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3723,0.54,0.34,0.73,0.64,0.43,0.84
Grande Ronde River Wild Spring Chinook,2010,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3723,0.81,0.58,1.05,0.94,0.68,1.18
Grande Ronde River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,482,,,,2.9,1.64,4.18
Grande Ronde River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,482,,,,4.15,2.59,5.83
Imnaha River Wild Summer Chinook,2010,CH,W,Sum,Lower Granite Dam to Bonneville Dam,4065,0.93,0.7,1.22,1.28,1.01,1.59
Imnaha River Wild Summer Chinook,2010,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,4065,0.84,0.63,1.1,1.11,0.85,1.39
Imnaha River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2221,,,,1.89,1.42,2.41
Imnaha River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2221,,,,2.66,2.09,3.28
Middle Fork Salmon River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2868,1.12,0.8,1.43,1.85,1.44,2.26
Middle Fork Salmon River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2868,0.94,0.63,1.25,1.6,1.21,1.98
Salmon River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1829,,,,1.86,1.29,2.41
Salmon River Wild Steelhead A-Run,2010,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1829,,,,2.73,2.05,3.46
South Fork Salmon River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1504,1.53,1.03,2.1,1.86,1.31,2.52
South Fork Salmon River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1504,1.4,0.91,1.94,1.6,1.08,2.18
Upper Salmon River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3612,1.11,0.83,1.37,1.27,0.96,1.56
Upper Salmon River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3612,0.94,0.69,1.19,1.08,0.8,1.34
Snake River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18775,1.45,1.3,1.6,1.61,1.45,1.76
Snake River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,18775,1.93,1.76,2.1,2.09,1.92,2.26
Snake River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3571,,,,2.88,2.43,3.39
Snake River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3571,,,,4.23,3.68,4.81
Snake River Wild Steelhead B-Run,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2398,,,,1.83,1.39,2.29
Snake River Wild Steelhead B-Run,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2398,,,,2.59,2.07,3.14
Snake River Wild Steelhead Aggregate,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5989,,,,3.56,3.16,3.95
Snake River Wild Steelhead Aggregate,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5989,,,,2.45,2.13,2.79
Clearwater River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1753,,,,2.28,1.72,2.88
Clearwater River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1753,,,,1.71,1.24,2.22
Clearwater River Wild Spring Chinook,2009,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1068,1.03,0.56,1.57,1.03,0.56,1.57
Clearwater River Wild Spring Chinook,2009,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1068,1.41,0.83,2,1.41,0.83,2
Grande Ronde River Wild Spring Chinook,2009,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2777,2.77,2.23,3.31,2.85,2.31,3.39
Grande Ronde River Wild Spring Chinook,2009,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2777,2.16,1.68,2.63,2.3,1.84,2.78
Grande Ronde River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,345,,,,4.34,2.65,6.32
Grande Ronde River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,345,,,,2.32,1.1,3.76
Imnaha River Wild Summer Chinook,2009,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,3161,1.68,1.3,2.06,1.9,1.51,2.3
