Year,Species,SAR,PH,FTD,Transport
2016,CH,0.55,9,431.6,False
2016,CH,0.34,16,431.6,False
2016,ST,1.08,16,431.6,False
2016,ST,1.49,9,431.6,False
2016,CH,0.59,9,431.6,False
2016,CH,0.49,16,431.6,False
2016,ST,0.7,16,431.6,False
2016,ST,0.7,9,431.6,False
2016,CH,0.46,9,431.6,False
2016,CH,0.35,16,431.6,False
2016,ST,1.02,12,366.0,False
2016,ST,1.5,7,366.0,False
2016,CH,0.3,7,366.0,False
2016,CH,0.15,12,366.0,False
2016,CH,0.5,9,431.6,False
2016,CH,0.35,16,431.6,False
2015,CH,0.29,16,431.6,False
2015,CH,0.35,9,431.6,False
2015,ST,0.11,9,431.6,False
2015,ST,0.21,16,431.6,False
2015,ST,0.12,9,431.6,False
2015,ST,0.23,16,431.6,False
2015,ST,0.2,9,431.6,False
2015,ST,0.1,16,431.6,False
2015,ST,0.0,9,431.6,False
2015,ST,0.0,16,431.6,False
2015,ST,0.32,9,431.6,False
2015,ST,0.14,16,431.6,False
2015,CH,0.2,9,431.6,False
2015,CH,0.2,16,431.6,False
2015,CH,0.83,9,431.6,False
2015,CH,0.6,16,431.6,False
2015,ST,0.44,9,431.6,False
2015,ST,0.35,16,431.6,False
2015,CH,0.48,16,431.6,False
2015,CH,0.54,9,431.6,False
2015,ST,0.18,9,431.6,False
2015,ST,0.07,16,431.6,False
2015,CH,0.21,16,431.6,False
2015,CH,0.21,9,431.6,False
2015,ST,0.0,9,431.6,False
2015,ST,0.0,16,431.6,False
2015,CH,0.24,16,431.6,False
2015,CH,0.47,9,431.6,False
2015,ST,0.49,7,366.0,False
2015,ST,0.49,12,366.0,False
2015,CH,0.0,12,366.0,False
2015,CH,0.0,7,366.0,False
2015,CH,0.13,16,431.6,False
2015,CH,0.17,9,431.6,False
2014,CH,0.57,16,431.6,False
2014,CH,0.69,9,431.6,False
2014,ST,1.38,9,431.6,False
2014,ST,2.18,16,431.6,False
2014,ST,1.38,9,431.6,False
2014,ST,1.88,16,431.6,False
2014,ST,2.01,9,431.6,False
2014,ST,1.34,16,431.6,False
2014,ST,1.26,9,431.6,False
2014,ST,0.66,16,431.6,False
2014,ST,1.85,9,431.6,False
2014,ST,1.39,16,431.6,False
2014,CH,0.36,9,431.6,False
2014,CH,0.24,16,431.6,False
2014,CH,1.36,16,431.6,False
2014,CH,1.59,9,431.6,False
2014,ST,1.42,16,431.6,False
2014,ST,2.69,9,431.6,False
2014,CH,0.62,9,431.6,False
2014,CH,0.5,16,431.6,False
2014,ST,1.87,16,431.6,False
2014,ST,2.82,9,431.6,False
2014,CH,0.66,9,431.6,False
2014,CH,0.56,16,431.6,False
2014,ST,1.27,16,431.6,False
2014,ST,1.73,9,431.6,False
2014,CH,0.77,9,431.6,False
2014,CH,0.77,16,431.6,False
2014,CH,0.43,9,431.6,False
2014,CH,0.37,16,431.6,False
2013,CH,1.36,16,431.6,False
2013,CH,1.7,9,431.6,False
2013,ST,2.33,9,431.6,False
2013,ST,3.23,16,431.6,False
2013,ST,1.84,9,431.6,False
2013,ST,2.35,16,431.6,False
2013,ST,2.69,9,431.6,False
2013,ST,1.99,16,431.6,False
2013,ST,2.66,9,431.6,False
2013,ST,2.31,16,431.6,False
2013,CH,0.37,16,431.6,False
2013,CH,0.73,9,431.6,False
2013,CH,2.17,9,431.6,False
2013,CH,1.79,16,431.6,False
2013,ST,3.8,9,431.6,False
2013,ST,2.43,16,431.6,False
2013,CH,1.43,16,431.6,False
2013,CH,1.69,9,431.6,False
2013,ST,3.03,9,431.6,False
2013,ST,2.0,16,431.6,False
2013,CH,1.54,16,431.6,False
2013,CH,1.84,9,431.6,False
2013,ST,2.27,9,431.6,False
2013,ST,1.48,16,431.6,False
2013,CH,0.99,16,431.6,False
2013,CH,1.48,9,431.6,False
2013,CH,1.28,16,431.6,False
2013,CH,1.7,9,431.6,False
2012,CH,1.43,16,431.6,False
2012,CH,1.84,9,431.6,False
2012,ST,2.74,9,431.6,False
2012,ST,3.8,16,431.6,False
2012,ST,2.44,9,431.6,False
2012,ST,3.13,16,431.6,False
2012,ST,3.39,9,431.6,False
2012,ST,2.54,16,431.6,False
2012,ST,2.73,16,431.6,False
2012,ST,3.37,9,431.6,False
2012,CH,0.69,9,431.6,False
2012,CH,0.69,16,431.6,False
2012,CH,1.65,16,431.6,False
2012,CH,2.2,9,431.6,False
2012,ST,3.57,16,431.6,False
2012,ST,4.14,9,431.6,False
2012,CH,1.51,9,431.6,False
2012,CH,1.01,16,431.6,False
2012,ST,2.35,16,431.6,False
2012,ST,3.8,9,431.6,False
2012,CH,2.03,9,431.6,False
2012,CH,1.59,16,431.6,False
2012,ST,2.71,16,431.6,False
2012,ST,3.59,9,431.6,False
2012,CH,1.24,9,431.6,False
2012,CH,1.01,16,431.6,False
2012,CH,2.33,9,431.6,False
2012,CH,1.98,16,431.6,False
2011,CH,0.36,16,431.6,False
2011,CH,0.45,9,431.6,False
2011,ST,1.39,9,431.6,False
2011,ST,2.16,16,431.6,False
2011,ST,1.05,9,431.6,False
2011,ST,1.32,16,431.6,False
2011,ST,1.84,9,431.6,False
2011,ST,1.27,16,431.6,False
2011,ST,1.15,9,431.6,False
2011,ST,1.09,16,431.6,False
2011,CH,0.35,16,431.6,False
2011,CH,0.49,9,431.6,False
2011,CH,0.49,9,431.6,False
2011,CH,0.43,16,431.6,False
2011,ST,3.21,9,431.6,False
2011,ST,1.83,16,431.6,False
2011,CH,0.37,16,431.6,False
2011,CH,0.5,9,431.6,False
2011,ST,1.67,9,431.6,False
2011,ST,1.04,16,431.6,False
2011,CH,0.44,16,431.6,False
2011,CH,0.5,9,431.6,False
2011,ST,2.17,9,431.6,False
2011,ST,1.36,16,431.6,False
2011,CH,0.27,16,431.6,False
2011,CH,0.27,9,431.6,False
2011,CH,0.95,16,431.6,False
2011,CH,1.16,9,431.6,False
2011,CH,0.35,16,431.6,False
2011,CH,0.46,9,431.6,False
2010,CH,0.93,16,431.6,False
2010,CH,1.16,9,431.6,False
2010,ST,2.06,9,431.6,False
2010,ST,2.92,16,431.6,False
2010,ST,1.29,9,431.6,False
2010,ST,1.73,16,431.6,False
2010,ST,2.4,9,431.6,False
2010,ST,1.73,16,431.6,False
2010,ST,1.44,16,431.6,False
2010,ST,1.88,9,431.6,False
2010,CH,1.07,9,431.6,False
2010,CH,0.75,16,431.6,False
2010,CH,0.64,16,431.6,False
2010,CH,0.94,9,431.6,False
2010,ST,2.9,16,431.6,False
2010,ST,4.15,9,431.6,False
2010,CH,1.28,9,431.6,False
2010,CH,1.11,16,431.6,False
2010,ST,1.89,16,431.6,False
2010,ST,2.66,9,431.6,False
2010,CH,1.85,9,431.6,False
2010,CH,1.6,16,431.6,False
2010,ST,1.86,16,431.6,False
2010,ST,2.73,9,431.6,False
2010,CH,1.86,9,431.6,False
2010,CH,1.6,16,431.6,False
2010,CH,1.27,9,431.6,False
2010,CH,1.08,16,431.6,False
2009,CH,1.61,16,431.6,False
2009,CH,2.09,9,431.6,False
2009,ST,2.88,9,431.6,False
2009,ST,4.23,16,431.6,False
2009,ST,1.83,9,431.6,False
2009,ST,2.59,16,431.6,False
2009,ST,3.56,9,431.6,False
2009,ST,2.45,16,431.6,False
2009,ST,2.28,9,431.6,False
2009,ST,1.71,16,431.6,False
2009,CH,1.03,16,431.6,False
2009,CH,1.41,9,431.6,False
2009,CH,2.85,9,431.6,False
2009,CH,2.3,16,431.6,False
2009,ST,4.34,9,431.6,False
2009,ST,2.32,16,431.6,False
2009,CH,1.9,16,431.6,False
2009,CH,2.66,9,431.6,False
2009,ST,5.08,9,431.6,False
2009,ST,3.64,16,431.6,False
2009,CH,1.56,16,431.6,False
2009,CH,1.98,9,431.6,False
2009,ST,3.1,9,431.6,False
2009,ST,1.93,16,431.6,False
2009,CH,1.53,16,431.6,False
2009,CH,2.01,9,431.6,False
2009,CH,1.01,16,431.6,False
2009,CH,1.61,9,431.6,False
2009,CH,1.61,16,431.6,False
2009,CH,1.99,9,431.6,False
2008,CH,3.24,16,431.6,False
2008,CH,4.14,9,431.6,False
2008,ST,2.56,9,431.6,False
2008,ST,3.71,16,431.6,False
2008,ST,3.56,9,431.6,False
2008,ST,4.72,16,431.6,False
2008,ST,4.36,9,431.6,False
2008,ST,3.21,16,431.6,False
2008,ST,2.81,16,431.6,False
2008,ST,3.97,9,431.6,False
2008,CH,1.94,9,431.6,False
2008,CH,1.58,16,431.6,False
2008,CH,3.26,16,431.6,False
2008,CH,4.14,9,431.6,False
2008,ST,3.44,16,431.6,False
2008,ST,5.73,9,431.6,False
2008,CH,4.74,9,431.6,False
2008,CH,3.55,16,431.6,False
2008,ST,5.17,16,431.6,False
2008,ST,5.57,9,431.6,False
2008,CH,4.12,9,431.6,False
2008,CH,3.49,16,431.6,False
2008,ST,5.14,16,431.6,False
2008,ST,6.36,9,431.6,False
2008,CH,5.82,9,431.6,False
2008,CH,4.77,16,431.6,False
2008,CH,3.32,9,431.6,False
2008,CH,1.99,16,431.6,False
2008,CH,4.09,9,431.6,False
2008,CH,2.85,16,431.6,False
2007,CH,1.09,16,431.6,False
2007,CH,1.27,9,431.6,False
2007,ST,3.29,9,431.6,False
2007,ST,4.27,16,431.6,False
2007,ST,1.4,9,431.6,False
2007,ST,1.78,16,431.6,False
2007,ST,3.31,9,431.6,False
2007,ST,2.57,16,431.6,False
2007,ST,1.51,9,431.6,False
2007,ST,1.15,16,431.6,False
2007,CH,0.87,16,431.6,False
2007,CH,1.04,9,431.6,False
2007,CH,1.71,9,431.6,False
2007,CH,1.38,16,431.6,False
2007,ST,4.96,9,431.6,False
2007,ST,4.49,16,431.6,False
2007,CH,0.78,16,431.6,False
2007,CH,0.88,9,431.6,False
2007,ST,4.13,9,431.6,False
2007,ST,3.09,16,431.6,False
2007,CH,0.59,16,431.6,False
2007,CH,1.17,9,431.6,False
2007,ST,3.8,9,431.6,False
2007,ST,3.19,16,431.6,False
2007,CH,1.46,16,431.6,False
2007,CH,1.65,9,431.6,False
2007,CH,0.96,16,431.6,False
2007,CH,1.01,9,431.6,False
2006,CH,0.74,16,431.6,False
2006,CH,0.89,9,431.6,False
2006,ST,1.43,9,431.6,False
2006,ST,2.61,16,431.6,False
2006,ST,0.92,9,431.6,False
2006,ST,1.34,16,431.6,False
2006,ST,1.89,9,431.6,False
2006,ST,1.14,16,431.6,False
2006,ST,0.8,16,431.6,False
2006,ST,1.24,9,431.6,False
2006,CH,0.45,9,431.6,False
2006,CH,0.34,16,431.6,False
2006,CH,0.92,16,431.6,False
2006,CH,1.1,9,431.6,False
2006,ST,1.62,16,431.6,False
2006,ST,3.59,9,431.6,False
2006,CH,0.82,9,431.6,False
2006,CH,0.69,16,431.6,False
2006,ST,1.24,16,431.6,False
2006,ST,2.18,9,431.6,False
2006,CH,0.39,9,431.6,False
2006,CH,0.39,16,431.6,False
2006,ST,1.57,16,431.6,False
2006,ST,1.88,9,431.6,False
2006,CH,0.94,9,431.6,False
2006,CH,0.86,16,431.6,False
2006,CH,0.27,16,431.6,False
2006,CH,1.08,9,431.6,False
2006,CH,0.69,9,431.6,False
2006,CH,0.55,16,431.6,False
2005,CH,0.23,16,431.6,False
2005,CH,0.3,9,431.6,False
2005,ST,1.0,9,431.6,False
2005,ST,0.79,16,431.6,False
2004,CH,0.69,9,431.6,False
2004,CH,0.54,16,431.6,False
2004,ST,1.31,9,431.6,False
2004,ST,0.85,16,431.6,False
2003,CH,0.35,9,431.6,False
2003,CH,0.34,16,431.6,False
2003,ST,1.87,9,431.6,False
2003,ST,1.57,16,431.6,False
2002,CH,1.03,16,431.6,False
2002,CH,1.29,9,431.6,False
2002,ST,2.52,9,431.6,False
2002,ST,2.08,16,431.6,False
2001,CH,2.04,9,431.6,False
2001,CH,1.49,16,431.6,False
2001,ST,4.0,9,431.6,False
2001,ST,2.5,16,431.6,False
2000,CH,1.69,16,431.6,False
2000,CH,2.69,9,431.6,False
2000,ST,3.01,9,431.6,False
2000,ST,2.67,16,431.6,False
1999,CH,2.55,16,431.6,False
1999,ST,2.75,16,431.6,False
1998,CH,1.25,16,431.6,False
1998,ST,0.3,16,431.6,False
1997,CH,1.77,16,431.6,False
1997,ST,1.07,16,431.6,False
1996,CH,0.42,16,431.6,False
1995,CH,0.35,16,431.6,False
1994,CH,0.63,16,431.6,False
2021,CH,2.59,4,215.6,False
2021,CH,1.46,5,292.0,False
2021,CH,1.46,8,292.0,False
2020,CH,5.1,4,215.6,False
2020,ST,1.9,4,215.6,False
2020,CH,3.03,5,292.0,False
2020,CH,2.92,8,292.0,False
2020,ST,2.46,4,215.6,False
2020,ST,3.13,5,292.0,False
2020,ST,3.44,8,292.0,False
2019,ST,0.0,2,146.1,False
2019,CH,0.78,5,292.0,False
2019,CH,0.19,1,0.0,False
2019,CH,2.02,4,215.6,False
2019,ST,0.57,4,215.6,False
2019,CH,2.57,5,292.0,False
2019,CH,2.18,8,292.0,False
2019,ST,0.1,4,215.6,False
2019,ST,0.49,5,292.0,False
2019,ST,0.49,8,292.0,False
2018,ST,9.32,2,146.1,False
2018,CH,1.52,5,292.0,False
2018,CH,0.37,1,0.0,False
2018,CH,2.68,4,215.6,False
2018,ST,4.05,4,215.6,False
2018,CH,1.05,5,292.0,False
2018,CH,0.84,8,292.0,False
2018,ST,1.89,4,215.6,False
2018,ST,1.56,5,292.0,False
2018,ST,1.09,8,292.0,False
2017,CH,1.44,2,146.1,False
2017,CH,0.32,1,0.0,False
2017,ST,2.25,2,146.1,False
2017,CH,0.51,5,292.0,False
2017,CH,0.15,1,0.0,False
2017,CH,1.31,4,215.6,False
2017,ST,2.58,4,215.6,False
2017,CH,1.72,5,292.0,False
2017,CH,1.51,8,292.0,False
2017,ST,1.72,4,215.6,False
2017,ST,2.69,5,292.0,False
2017,ST,1.62,8,292.0,False
2016,CH,0.15,1,0.0,False
2016,CH,0.98,2,146.1,False
2016,ST,5.16,2,146.1,False
2016,CH,0.13,1,0.0,False
2016,CH,0.26,5,292.0,False
2016,CH,2.63,4,215.6,False
2016,ST,5.39,4,215.6,False
2016,CH,0.41,5,292.0,False
2016,CH,0.41,8,292.0,False
2016,ST,2.63,4,215.6,False
2016,ST,3.25,8,292.0,False
2016,ST,3.25,5,292.0,False
2015,CH,0.24,2,146.1,False
2015,CH,0.04,1,0.0,False
2015,ST,1.81,2,146.1,False
2015,CH,0.05,5,292.0,False
2015,CH,0.04,1,0.0,False
2015,CH,5.37,4,215.6,False
2015,ST,1.79,4,215.6,False
2015,CH,1.73,5,292.0,False
2015,CH,1.56,8,292.0,False
2015,ST,1.46,4,215.6,False
2015,ST,1.54,5,292.0,False
2015,ST,0.93,8,292.0,False
2014,CH,0.21,1,0.0,False
2014,CH,1.1,2,146.1,False
2014,ST,6.98,2,146.1,False
2014,CH,0.29,1,0.0,False
2014,CH,0.85,5,292.0,False
2014,CH,4.24,4,215.6,False
2014,ST,5.13,4,215.6,False
2014,CH,2.35,5,292.0,False
2014,CH,1.95,8,292.0,False
2014,ST,4.78,4,215.6,False
2014,ST,5.17,8,292.0,False
2014,ST,5.78,5,292.0,False
2013,CH,0.91,2,146.1,False
2013,CH,0.29,1,0.0,False
2013,ST,2.71,2,146.1,False
2013,CH,2.74,5,292.0,False
2013,CH,0.96,1,0.0,False
2013,CH,5.11,4,215.6,False
2013,ST,10.06,4,215.6,False
2013,CH,2.05,5,292.0,False
2013,CH,2.01,8,292.0,False
2013,ST,4.12,4,215.6,False
2013,ST,5.2,5,292.0,False
2013,ST,4.0,8,292.0,False
2012,CH,0.31,1,0.0,False
2012,CH,0.93,2,146.1,False
2012,ST,5.52,2,146.1,False
2012,CH,0.51,1,0.0,False
2012,CH,1.78,5,292.0,False
2012,CH,3.81,4,215.6,False
2012,ST,5.61,4,215.6,False
2012,CH,3.24,5,292.0,False
2012,CH,3.14,8,292.0,False
2012,ST,5.14,4,215.6,False
2012,ST,4.69,8,292.0,False
2012,ST,6.8,5,292.0,False
2011,CH,3.06,2,146.1,False
2011,CH,0.87,1,0.0,False
2011,ST,4.14,2,146.1,False
2011,CH,3.46,5,292.0,False
2011,CH,1.35,1,0.0,False
2011,CH,0.94,4,215.6,False
2011,ST,1.93,4,215.6,False
2011,CH,0.97,5,292.0,False
2011,CH,0.88,8,292.0,False
2011,ST,1.22,4,215.6,False
2011,ST,3.25,5,292.0,False
2011,ST,2.32,8,292.0,False
2010,ST,3.94,2,146.1,False
2010,CH,0.89,1,0.0,False
2010,CH,3.0,5,292.0,False
2010,CH,4.84,4,215.6,False
2010,ST,6.07,4,215.6,False
2010,CH,1.86,5,292.0,False
2010,CH,1.53,8,292.0,False
2010,ST,4.47,8,292.0,False
2010,ST,5.66,5,292.0,False
2009,ST,8.52,2,146.1,False
2009,CH,0.94,5,292.0,False
2009,CH,0.3,1,0.0,False
2009,CH,7.11,4,215.6,False
2009,ST,7.63,4,215.6,False
2009,CH,4.78,5,292.0,False
2009,CH,4.12,8,292.0,False
2009,ST,5.27,5,292.0,False
2009,ST,4.72,8,292.0,False
2008,ST,9.62,2,146.1,False
2008,CH,0.77,1,0.0,False
2008,CH,2.32,5,292.0,False
2008,CH,6.26,4,215.6,False
2008,ST,10.35,4,215.6,False
2008,CH,5.8,5,292.0,False
2008,CH,5.08,8,292.0,False
2008,ST,8.07,8,292.0,False
2008,ST,8.92,5,292.0,False
2007,ST,7.67,2,146.1,False
2007,CH,0.45,5,292.0,False
2007,CH,0.17,1,0.0,False
2007,CH,5.06,4,215.6,False
2007,ST,8.83,4,215.6,False
2007,CH,1.5,5,292.0,False
2007,CH,1.5,8,292.0,False
2007,ST,7.3,5,292.0,False
2007,ST,6.39,8,292.0,False
2006,ST,8.36,2,146.1,False
2006,CH,2.06,4,215.6,False
2006,ST,3.33,4,215.6,False
2006,CH,2.13,5,292.0,False
2006,CH,2.05,8,292.0,False
2006,ST,3.27,8,292.0,False
2006,ST,4.03,5,292.0,False
2005,CH,0.08,1,0.0,False
2005,CH,0.29,5,292.0,False
2005,CH,2.06,4,215.6,False
2005,ST,2.8,4,215.6,False
2005,CH,1.37,5,292.0,False
2005,CH,1.2,8,292.0,False
2005,ST,4.94,5,292.0,False
2005,ST,4.56,8,292.0,False
2004,CH,0.07,1,0.0,False
2004,CH,0.2,5,292.0,False
2004,CH,3.32,4,215.6,False
2004,ST,4.26,4,215.6,False
2004,CH,2.85,5,292.0,False
2004,CH,2.65,8,292.0,False
2004,ST,2.84,5,292.0,False
2004,ST,2.58,8,292.0,False
2003,CH,0.43,5,292.0,False
2003,CH,0.13,1,0.0,False
2003,CH,2.89,4,215.6,False
2003,CH,1.91,5,292.0,False
2003,CH,1.82,8,292.0,False
2003,ST,7.85,5,292.0,False
2003,ST,6.49,8,292.0,False
2002,CH,3.98,4,215.6,False
2002,CH,2.38,5,292.0,False
2002,CH,2.15,8,292.0,False
2002,ST,6.03,8,292.0,False
2002,ST,7.94,5,292.0,False
2001,CH,0.26,1,0.0,False
2001,CH,0.71,5,292.0,False
2001,CH,4.11,4,215.6,False
2001,CH,1.06,8,292.0,False
2001,CH,1.15,5,292.0,False
2000,CH,2.86,5,292.0,False
2000,CH,1.19,1,0.0,False
2000,CH,11.0,4,215.6,False
2000,CH,5.69,5,292.0,False
2000,CH,4.8,8,292.0,False
